Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,22T,27T,81T
1/1/2020,20,22,18,23,17,20,20,21,22,21,21,23,29,20,32,16,16,35,21,23,28,27,34
2/1/2020,26,24,20,26,21,24,26,28,27,27,28,30,32,25,28,22,21,38,22,23,31,30,27
3/1/2020,32,28,24,31,24,27,32,32,29,33,30,36,38,30,33,27,24,41,26,29,31,45,38
4/1/2020,37,35,31,35,35,34,37,38,39,39,35,44,48,35,43,36,31,51,30,34,37,58,51
5/1/2020,45,41,33,40,36,38,42,51,44,45,40,46,56,39,53,44,41,58,34,44,39,61,56
6/1/2020,51,49,39,46,49,40,46,62,50,52,45,52,63,45,66,43,45,62,33,42,48,67,57
7/1/2020,51,57,39,47,45,38,57,64,52,53,57,64,66,48,71,49,47,72,41,59,54,54,53
8/1/2020,53,64,47,53,52,49,60,58,55,55,59,63,76,49,59,53,50,76,48,51,54,61,55
9/1/2020,60,55,47,49,49,47,53,74,56,63,56,70,67,60,81,51,54,68,55,63,61,88,74
10/1/2020,97,100,63,72,78,70,78,96,82,101,77,102,112,82,94,86,86,108,48,67,72,109,77
11/1/2020,46,46,35,46,35,42,47,57,49,49,46,65,55,47,61,37,37,53,28,51,54,59,70
12/1/2020,36,37,26,35,33,33,38,38,39,39,38,55,47,42,40,27,31,43,25,38,43,32,41
13/1/2020,33,33,26,36,33,30,34,39,42,39,38,45,47,40,41,31,34,47,30,40,37,27,32
14/1/2020,34,36,27,35,30,29,35,42,37,34,38,47,44,37,44,30,28,41,31,36,36,25,29
15/1/2020,35,38,30,37,31,31,39,45,39,36,38,49,45,40,45,30,28,42,31,34,40,23,33
16/1/2020,37,41,33,39,37,37,40,47,42,38,42,56,47,40,46,33,33,44,36,41,42,28,36
17/1/2020,45,46,36,47,43,42,47,58,50,45,48,60,54,51,56,39,37,51,42,45,46,34,40
18/1/2020,58,58,48,55,52,52,55,59,59,54,56,79,64,61,63,46,49,63,46,60,62,44,52
19/1/2020,56,58,50,56,53,52,57,58,58,55,56,74,65,59,57,49,49,66,45,58,57,46,57
20/1/2020,64,60,54,61,58,56,62,72,65,64,63,76,73,66,n/a,58,52,75,49,62,67,52,54
21/1/2020,46,47,45,50,45,45,53,55,51,45,56,72,55,54,n/a,40,40,53,38,56,58,26,41
22/1/2020,41,36,32,39,32,32,41,45,43,39,43,53,39,44,45,35,31,41,28,40,43,25,36
23/1/2020,35,35,26,35,32,33,40,46,38,34,35,51,40,38,44,30,30,44,27,44,38,26,31
24/1/2020,24,21,18,27,24,24,26,30,27,22,21,43,27,25,28,18,19,32,20,27,21,15,20
25/1/2020,21,18,15,21,17,16,20,20,21,17,16,30,23,20,17,14,17,29,19,21,17,13,17
26/1/2020,17,12,11,15,13,15,19,23,19,15,12,25,19,18,23,13,12,27,16,16,16,14,17
27/1/2020,21,20,14,20,21,19,23,29,24,23,19,27,28,22,36,20,20,35,20,18,21,25,28
28/1/2020,34,26,18,27,25,26,26,40,35,33,29,43,36,33,41,26,27,44,23,29,29,30,32
29/1/2020,30,27,22,30,24,29,33,39,35,31,30,39,34,36,46,25,26,34,21,33,33,26,37
30/1/2020,37,37,28,35,35,29,37,41,38,33,34,42,44,38,47,35,33,54,31,37,36,36,35
31/1/2020,45,45,34,46,44,45,46,43,46,42,44,47,51,46,51,43,40,60,37,45,49,45,49
1/2/2020,61,60,43,58,57,55,61,63,64,60,60,72,72,66,71,63,59,79,45,62,62,60,55
2/2/2020,60,60,53,58,58,59,62,62,63,57,65,73,72,62,72,54,55,77,43,66,69,49,54
3/2/2020,53,54,45,58,48,46,n/a,55,55,49,56,70,62,57,54,47,47,69,39,57,60,40,44
4/2/2020,44,42,33,43,40,44,46,49,45,41,42,56,50,45,50,37,39,54,31,43,45,34,38
5/2/2020,32,29,25,32,27,31,31,39,34,29,32,43,35,35,36,24,31,42,24,33,35,23,26
6/2/2020,26,24,20,22,21,22,28,35,27,23,22,35,29,27,31,19,21,36,22,29,24,18,24
7/2/2020,30,29,27,31,25,30,33,38,32,28,35,42,32,36,38,22,26,38,23,30,37,20,25
8/2/2020,36,35,29,36,35,35,35,38,n/a,35,40,46,37,41,42,29,31,47,27,39,41,25,34
9/2/2020,44,42,32,40,39,39,40,40,45,43,43,47,48,45,43,42,38,64,35,40,45,43,45
10/2/2020,45,42,42,41,41,43,44,47,44,42,44,45,46,45,55,42,37,60,35,39,48,54,44
11/2/2020,49,48,45,48,48,46,48,53,52,49,49,57,54,50,69,54,48,66,39,50,53,54,58
12/2/2020,36,32,34,35,38,36,36,44,40,34,34,49,41,36,45,34,34,48,29,36,37,32,35
13/2/2020,13,11,12,15,13,12,16,17,16,12,10,22,17,14,14,15,10,22,13,13,10,8,11
14/2/2020,12,10,10,12,13,12,13,19,16,11,10,22,16,13,15,8,11,24,13,13,10,7,11
15/2/2020,20,15,17,17,20,15,19,25,23,22,16,25,21,22,27,16,16,32,18,17,19,20,22
16/2/2020,16,11,14,13,12,14,15,19,16,13,11,23,16,15,22,10,10,25,16,16,14,13,18
17/2/2020,18,15,18,18,17,15,19,21,21,16,17,25,20,18,20,13,14,27,16,21,18,12,18
18/2/2020,32,32,31,31,32,30,32,36,39,36,32,40,41,34,41,32,32,50,29,32,35,39,35
19/2/2020,52,49,53,50,50,48,52,52,53,49,53,52,54,51,64,49,42,64,34,49,55,59,66
20/2/2020,58,54,59,53,57,54,56,79,59,59,55,64,64,58,92,51,55,77,51,64,66,91,84
21/2/2020,49,52,50,50,46,49,49,53,54,49,51,54,56,48,61,53,48,73,62,55,64,64,65
22/2/2020,50,51,53,52,52,50,54,52,58,50,56,57,58,50,63,53,45,68,56,57,61,67,59
23/2/2020,53,53,55,54,51,51,56,52,58,52,57,59,58,54,74,52,47,67,57,56,63,57,54
24/2/2020,62,64,66,62,67,67,63,71,70,62,63,68,69,57,75,60,64,81,75,63,64,47,70
25/2/2020,64,67,74,62,60,57,71,66,76,60,70,87,69,64,65,59,58,84,77,74,69,47,58
26/2/2020,43,42,48,45,41,42,49,52,49,41,48,59,46,43,45,36,38,55,44,49,50,31,38
27/2/2020,48,40,42,45,40,46,48,51,54,47,50,65,48,45,50,38,33,55,41,47,50,29,42
28/2/2020,28,26,28,28,26,27,31,32,35,24,27,46,30,29,27,22,21,39,35,36,n/a,15,22
29/2/2020,25,23,28,27,26,24,27,30,29,22,24,39,26,27,26,19,24,36,23,27,28,14,20
1/3/2020,26,23,23,25,24,25,27,29,27,23,23,37,27,26,28,22,22,36,24,28,25,18,23
2/3/2020,26,23,26,n/a,26,24,27,30,29,24,24,35,28,24,26,19,23,35,22,28,26,20,25
3/3/2020,19,16,20,n/a,19,17,20,28,22,18,17,33,23,18,22,14,18,30,19,20,17,13,18
4/3/2020,14,11,14,13,13,12,17,22,16,10,11,23,17,14,19,12,10,24,13,13,13,9,13
5/3/2020,15,13,15,16,16,15,17,25,20,12,14,28,17,14,19,9,14,27,14,16,14,9,12
6/3/2020,15,14,16,17,16,12,16,24,18,14,13,24,19,15,20,13,13,27,18,13,13,10,11
7/3/2020,15,13,16,16,16,15,17,25,20,13,16,26,17,15,17,10,14,29,18,22,16,9,14
8/3/2020,22,19,21,23,21,22,22,24,27,20,21,32,25,23,27,16,19,33,21,24,26,17,25
9/3/2020,31,32,37,36,35,34,35,41,44,35,38,44,38,37,45,32,28,45,28,34,41,30,40
10/3/2020,32,25,29,29,37,29,31,40,37,27,28,42,31,31,40,22,26,38,29,36,36,25,40
11/3/2020,32,29,33,32,37,33,35,42,40,31,32,44,34,33,46,24,31,46,36,35,34,32,49
12/3/2020,26,22,25,26,24,25,27,34,32,23,25,39,28,26,29,17,24,36,24,30,27,21,28
13/3/2020,21,19,19,22,22,20,21,26,26,18,19,33,22,20,24,14,17,31,19,23,21,14,19
14/3/2020,18,15,15,18,24,17,20,22,21,15,17,30,19,18,21,12,15,27,15,20,18,11,16
15/3/2020,23,20,22,20,26,18,21,23,26,20,22,33,24,22,20,18,18,35,25,19,21,20,n/a
16/3/2020,34,32,34,32,30,33,32,43,40,32,38,53,38,33,37,26,27,51,32,27,31,30,n/a
17/3/2020,20,16,19,22,13,18,23,32,23,19,19,32,23,19,24,17,17,30,19,25,20,15,18
18/3/2020,20,17,18,21,15,21,21,28,23,18,18,33,23,20,24,15,18,31,18,22,19,15,23
19/3/2020,21,17,18,22,16,18,21,31,25,18,19,34,25,19,20,16,19,32,20,23,20,13,18
20/3/2020,21,16,17,18,16,20,21,29,23,16,18,30,21,18,20,14,19,31,20,24,18,12,16
21/3/2020,22,16,19,21,15,19,22,32,24,19,19,31,22,20,23,16,19,30,19,19,20,15,17
22/3/2020,19,14,14,17,12,17,21,24,20,15,16,27,19,18,24,12,16,27,15,19,18,13,19
23/3/2020,17,15,14,17,14,14,20,22,21,13,15,28,18,18,19,11,14,27,16,19,17,11,20
24/3/2020,13,12,13,15,12,17,17,28,19,13,14,27,18,15,18,10,13,26,15,23,15,10,12
25/3/2020,22,14,15,18,12,19,20,26,21,15,15,26,21,16,19,13,16,27,18,21,14,11,15
26/3/2020,15,11,11,15,11,12,17,24,17,11,14,27,17,12,19,8,12,23,12,19,13,8,13
27/3/2020,15,13,13,15,10,16,18,22,19,11,14,25,17,15,14,8,12,23,13,17,15,8,18
28/3/2020,23,19,18,22,18,22,26,30,26,20,23,33,24,23,30,16,20,30,23,29,25,20,30
29/3/2020,22,16,19,20,15,20,23,24,23,19,19,28,21,20,23,13,17,28,20,25,21,15,29
30/3/2020,21,18,18,20,14,22,22,31,24,18,19,30,23,21,28,15,17,29,30,25,20,21,34
31/3/2020,28,25,25,28,22,28,30,34,32,26,24,36,29,28,28,23,25,37,28,27,26,24,30
1/4/2020,19,15,17,19,15,20,22,28,23,16,19,28,20,20,20,10,16,26,17,26,20,13,25
2/4/2020,16,13,15,16,12,19,20,21,21,14,15,26,19,17,18,11,12,25,15,25,18,11,18
3/4/2020,14,12,13,14,12,13,18,23,17,11,13,22,16,14,15,9,11,25,16,21,16,8,12
4/4/2020,16,12,13,14,13,18,19,27,20,13,14,25,17,15,22,10,13,25,15,21,14,10,29
5/4/2020,16,13,14,15,11,17,20,18,23,13,15,24,17,n/a,14,11,12,26,20,20,16,9,15
6/4/2020,15,13,17,14,13,13,19,22,17,12,12,24,17,n/a,18,11,13,27,16,15,13,11,15
7/4/2020,20,11,16,17,19,20,19,31,22,15,14,25,19,n/a,24,12,15,26,15,19,18,17,24
8/4/2020,16,11,15,14,15,16,17,27,17,13,13,24,18,15,19,10,12,25,13,21,14,13,16
9/4/2020,16,14,16,15,16,13,21,27,19,14,14,26,19,18,19,12,15,28,20,24,16,12,17
10/4/2020,17,15,18,18,20,17,21,25,21,15,15,28,20,17,20,13,15,28,22,26,n/a,12,14
11/4/2020,17,21,20,20,15,19,28,25,20,14,23,28,19,16,22,16,15,27,25,33,17,12,14
12/4/2020,17,15,16,17,13,16,20,19,17,14,15,26,20,17,19,12,13,27,20,22,13,12,14
13/4/2020,29,24,21,23,24,28,27,24,27,24,27,n/a,28,27,23,22,20,38,30,26,22,19,21
14/4/2020,37,35,29,32,25,30,38,32,39,34,44,n/a,38,34,30,28,27,53,41,30,23,28,23
15/4/2020,33,29,24,28,24,28,31,34,33,29,31,44,33,32,37,26,24,44,33,30,21,24,24
16/4/2020,15,14,15,15,13,17,20,22,19,13,14,28,19,18,n/a,13,11,26,18,19,12,11,16
17/4/2020,14,11,12,13,10,11,16,22,16,12,13,26,16,15,17,10,10,25,16,16,10,11,13
18/4/2020,11,11,12,13,10,13,16,16,15,9,13,27,15,10,14,10,8,25,13,14,12,7,8
19/4/2020,14,9,11,11,10,14,14,16,13,11,12,23,15,14,14,8,8,23,13,14,8,8,11
20/4/2020,13,11,13,13,11,15,16,n/a,15,12,13,25,17,15,14,11,10,23,15,19,10,9,14
21/4/2020,13,9,11,13,12,12,15,24,15,10,12,21,16,14,16,10,9,23,14,17,9,8,11
22/4/2020,19,14,16,17,14,15,20,20,20,15,18,27,19,19,24,13,15,28,16,19,15,14,23
23/4/2020,19,16,18,18,16,20,20,20,20,16,18,26,20,18,17,15,17,31,19,22,16,11,17
24/4/2020,20,19,20,18,18,18,23,24,23,16,20,31,19,21,n/a,14,15,33,21,28,20,12,15
25/4/2020,24,22,22,20,16,23,25,26,25,22,27,34,24,23,22,19,20,35,23,24,20,23,18
26/4/2020,32,29,27,27,24,25,33,32,31,30,33,39,34,29,30,27,27,46,25,27,22,31,25
27/4/2020,38,37,31,34,31,32,37,44,36,35,37,45,40,35,39,31,32,53,23,35,30,43,36
28/4/2020,31,29,26,28,23,28,31,37,33,28,30,40,33,29,31,27,26,46,24,24,21,35,26
29/4/2020,36,30,27,31,27,32,35,35,36,31,36,50,35,34,39,26,27,46,26,34,27,31,33
30/4/2020,25,23,24,24,20,23,29,27,27,21,29,41,27,26,29,19,19,37,22,24,18,19,19
1/5/2020,18,15,17,16,13,17,23,24,19,15,16,31,19,20,23,13,13,26,16,21,13,12,18
2/5/2020,16,11,14,14,12,12,19,23,17,14,14,26,16,17,20,10,11,24,14,21,11,14,16
3/5/2020,14,10,13,13,11,13,16,21,14,11,12,24,16,15,19,11,10,25,13,16,12,12,16
4/5/2020,17,15,16,17,13,16,20,26,19,16,16,28,18,17,23,14,14,27,16,20,13,13,17
5/5/2020,20,17,17,19,18,16,21,30,23,19,19,29,23,23,31,18,16,32,16,21,15,19,22
6/5/2020,16,14,15,16,14,15,18,25,18,14,14,25,19,17,18,11,12,27,15,21,13,13,16
7/5/2020,13,10,13,13,15,15,17,24,15,10,n/a,23,14,15,19,8,8,23,14,15,9,10,12
8/5/2020,13,9,11,11,10,13,15,22,14,8,n/a,22,12,13,17,7,10,22,12,19,10,13,14
9/5/2020,10,6,11,8,10,8,11,15,10,6,6,17,11,7,12,6,6,20,12,13,6,5,13
10/5/2020,8,6,10,8,8,9,10,15,10,6,6,15,10,9,10,6,5,17,10,10,5,4,5
11/5/2020,14,10,14,11,n/a,11,16,19,14,10,11,20,14,12,10,10,10,24,15,13,9,8,15
12/5/2020,25,19,18,18,13,18,24,31,25,20,20,33,25,19,22,20,16,37,17,20,14,27,20
13/5/2020,14,10,14,15,13,13,18,25,16,10,13,24,15,15,19,8,12,22,14,19,10,9,14
14/5/2020,13,11,19,14,12,13,18,22,15,10,16,24,14,14,16,9,11,22,16,21,12,7,14
15/5/2020,11,9,15,11,13,13,15,21,14,9,12,24,12,13,14,10,8,21,12,18,11,7,11
16/5/2020,13,11,13,13,14,13,15,23,15,10,11,26,13,11,15,9,10,22,13,19,10,9,12
17/5/2020,13,10,12,11,14,14,14,21,14,11,12,22,13,14,16,11,11,24,13,19,11,10,16
18/5/2020,13,10,13,13,16,13,13,22,16,11,11,26,15,13,15,11,10,24,14,17,9,12,14
19/5/2020,11,9,12,11,10,9,12,23,12,9,8,20,14,12,16,8,8,23,12,14,8,8,8
20/5/2020,16,10,13,13,11,14,14,23,15,12,10,22,14,14,18,11,11,23,14,13,9,11,10
21/5/2020,17,13,16,15,15,12,16,26,18,14,13,25,15,18,22,13,13,25,15,20,14,12,12
22/5/2020,25,22,23,22,22,24,23,34,24,21,21,32,24,23,25,22,21,34,23,21,17,21,19
23/5/2020,26,23,28,23,26,19,26,35,25,23,22,37,26,21,31,24,23,34,19,n/a,19,21,18
24/5/2020,25,21,27,26,24,28,24,28,23,20,22,33,23,23,24,20,21,33,19,26,20,19,20
25/5/2020,22,20,23,23,23,16,n/a,34,23,20,22,36,22,n/a,27,19,20,33,19,19,16,21,18
26/5/2020,24,17,21,20,21,19,22,36,25,21,23,35,21,n/a,29,18,18,27,14,17,16,19,16
27/5/2020,12,9,16,13,13,13,15,19,14,9,12,22,11,n/a,15,6,8,21,12,15,9,7,8
28/5/2020,13,8,12,9,9,9,12,16,13,9,9,21,11,11,12,9,7,23,13,10,7,12,7
29/5/2020,12,13,16,15,16,13,15,23,16,10,14,26,17,13,15,13,11,28,16,13,7,10,7
30/5/2020,11,8,12,10,13,9,12,12,11,9,9,22,10,10,11,7,9,24,11,15,7,9,8
31/5/2020,12,11,11,9,10,9,11,19,15,9,9,n/a,12,10,15,9,7,23,12,8,6,n/a,5
1/6/2020,14,9,13,10,14,8,14,22,16,11,10,n/a,13,11,16,8,9,21,11,12,8,8,7
2/6/2020,11,6,11,9,10,8,12,21,12,8,8,19,11,11,18,6,7,20,11,9,8,11,6
3/6/2020,11,8,12,9,13,9,12,16,13,10,9,22,12,11,11,8,8,22,13,13,7,10,9
4/6/2020,11,9,16,12,14,12,15,18,15,9,12,21,13,10,17,9,8,21,13,15,12,8,6
5/6/2020,11,7,15,10,12,12,14,24,13,8,12,21,10,11,14,6,5,18,11,16,9,9,7
6/6/2020,7,5,14,9,11,7,12,17,11,5,8,21,9,7,18,5,5,18,11,12,9,n/a,5
7/6/2020,6,5,10,4,10,8,10,11,8,5,4,18,8,9,14,5,4,18,10,17,6,n/a,4
8/6/2020,8,4,10,9,11,9,11,19,11,10,6,19,10,8,15,6,8,18,11,15,6,13,4
9/6/2020,10,7,13,9,12,10,12,19,11,11,8,18,12,8,13,6,9,21,12,11,7,5,6
10/6/2020,10,7,11,7,9,11,11,22,10,11,7,18,9,9,17,6,5,18,11,14,8,8,9
11/6/2020,15,9,14,10,13,10,13,22,14,17,11,22,13,14,21,6,9,23,11,11,10,12,7
12/6/2020,12,10,12,8,10,9,11,21,12,12,8,18,11,9,15,7,7,22,13,8,7,8,7
13/6/2020,11,9,12,8,10,9,12,20,12,13,8,19,11,8,15,9,8,23,12,9,7,10,7
14/6/2020,12,9,13,10,10,12,13,18,14,14,9,21,12,10,13,10,9,23,12,11,9,10,8
15/6/2020,11,6,9,9,12,8,11,19,13,11,7,17,11,8,12,5,7,20,11,9,6,6,8
16/6/2020,11,8,9,9,9,11,11,21,11,13,8,20,10,11,19,7,6,19,10,12,9,8,8
17/6/2020,12,8,13,11,12,11,13,23,14,13,8,24,13,10,19,8,9,21,14,15,8,7,5
18/6/2020,15,12,17,12,15,13,16,24,18,17,13,24,16,12,21,14,13,24,14,16,9,9,9
19/6/2020,14,10,13,12,17,10,14,22,16,16,10,25,14,12,18,9,11,22,12,13,7,7,7
20/6/2020,13,10,14,10,12,11,13,19,15,15,10,22,14,8,19,9,9,24,14,10,6,11,6
21/6/2020,12,10,13,11,12,11,13,16,14,14,11,21,12,9,13,9,8,24,14,n/a,7,8,8
22/6/2020,15,11,15,14,16,12,15,22,17,17,13,21,16,12,15,13,12,26,15,10,8,10,7
23/6/2020,15,11,14,14,15,13,14,20,18,18,12,21,15,13,17,10,12,24,14,13,10,10,7
24/6/2020,17,11,16,15,16,15,16,24,20,18,16,25,15,11,23,9,11,22,13,15,9,12,9
25/6/2020,10,10,14,13,12,11,14,20,15,15,13,21,14,10,18,11,9,23,12,10,7,12,7
26/6/2020,13,9,11,11,13,11,12,20,13,14,9,21,12,11,17,8,8,22,12,8,6,13,7
27/6/2020,11,12,14,12,13,10,13,23,13,13,10,21,13,9,16,10,12,25,13,8,6,11,6
28/6/2020,11,9,12,9,11,9,13,14,13,13,9,22,11,8,13,8,8,23,13,7,5,7,4
29/6/2020,11,8,11,11,11,9,11,21,13,12,8,17,13,9,14,8,8,21,11,7,5,8,6
30/6/2020,14,10,12,10,10,13,12,21,12,16,10,19,11,11,15,6,5,20,11,10,8,8,6
